Date/Time,Source IP,Destination IP,Event ID,Log Source,Username,Hostname,Description,Severity,Action Taken,Analyst
2026-03-08 14:30:12,192.168.1.10,192.168.1.100,4625,Windows Security Log,Administrator,WORKSTATION01,Failed login attempt #1 — wrong password for Administrator,HIGH,Monitoring — flagged for investigation,J. Smith
2026-03-08 14:30:19,192.168.1.10,192.168.1.100,4625,Windows Security Log,Administrator,WORKSTATION01,Failed login attempt #2 — wrong password for Administrator,HIGH,Monitoring,J. Smith
2026-03-08 14:30:26,192.168.1.10,192.168.1.100,4625,Windows Security Log,Administrator,WORKSTATION01,Failed login attempt #3 — wrong password for Administrator,HIGH,Monitoring,J. Smith
2026-03-08 14:30:33,192.168.1.10,192.168.1.100,4625,Windows Security Log,Administrator,WORKSTATION01,Failed login attempt #4 — wrong password for Administrator,HIGH,Monitoring,J. Smith
2026-03-08 14:30:40,192.168.1.10,192.168.1.100,4625,Windows Security Log,Administrator,WORKSTATION01,Failed login attempt #5 — wrong password for Administrator,HIGH,Monitoring,J. Smith
2026-03-08 14:30:48,192.168.1.10,192.168.1.100,4625,Windows Security Log,Administrator,WORKSTATION01,Failed login attempt #6 — wrong password for Administrator,HIGH,Monitoring,J. Smith
2026-03-08 14:30:55,192.168.1.10,192.168.1.100,4625,Windows Security Log,Administrator,WORKSTATION01,Failed login attempt #7 — wrong password for Administrator,HIGH,Monitoring,J. Smith
2026-03-08 14:31:03,192.168.1.10,192.168.1.100,4625,Windows Security Log,Administrator,WORKSTATION01,Failed login attempt #8 — wrong password for Administrator,HIGH,Monitoring,J. Smith
2026-03-08 14:31:10,192.168.1.10,192.168.1.100,4625,Windows Security Log,Administrator,WORKSTATION01,Failed login attempt #9 — wrong password for Administrator,HIGH,Monitoring,J. Smith
2026-03-08 14:31:18,192.168.1.10,192.168.1.100,4625,Windows Security Log,Administrator,WORKSTATION01,Failed login attempt #10 — wrong password for Administrator,HIGH,Monitoring,J. Smith
2026-03-08 14:31:25,192.168.1.10,192.168.1.100,4625,Windows Security Log,Administrator,WORKSTATION01,Failed login attempt #11 — wrong password for Administrator,HIGH,Monitoring,J. Smith
2026-03-08 14:31:33,192.168.1.10,192.168.1.100,4625,Windows Security Log,Administrator,WORKSTATION01,Failed login attempt #12 — wrong password for Administrator,HIGH,Monitoring,J. Smith
2026-03-08 14:31:40,192.168.1.10,192.168.1.100,4625,Windows Security Log,Administrator,WORKSTATION01,Failed login attempt #13 — wrong password for Administrator,HIGH,Monitoring,J. Smith
2026-03-08 14:31:48,192.168.1.10,192.168.1.100,4625,Windows Security Log,Administrator,WORKSTATION01,Failed login attempt #14 — wrong password for Administrator,HIGH,Monitoring,J. Smith
2026-03-08 14:31:55,192.168.1.10,192.168.1.100,4625,Windows Security Log,Administrator,WORKSTATION01,Failed login attempt #15 — wrong password for Administrator,HIGH,Monitoring,J. Smith
2026-03-08 14:33:01,192.168.1.10,192.168.1.100,4624,Windows Security Log,Administrator,WORKSTATION01,SUCCESSFUL LOGIN after 15 failed attempts — possible breach confirmed,CRITICAL,Isolated WORKSTATION01 from network. Blocked 192.168.1.10 at firewall. Escalated to Tier 2.,J. Smith
2026-03-09 09:15:00,N/A,192.168.1.100,7045,Windows System Log,SYSTEM,WORKSTATION01,New service installed: MaliciousSvc — path: C:\Temp\svc32.exe — auto-start as SYSTEM,CRITICAL,Service stopped and deleted. Binary quarantined. Full forensic image taken.,J. Smith
2026-03-11 14:22:00,N/A,N/A,N/A,Chrome Browser History,N/A,WORKSTATION01,Browser visit to http://test.com detected during forensic history analysis,MEDIUM,URL logged as IOC. No further malicious content found at destination.,J. Smith
2026-03-11 14:23:00,N/A,N/A,N/A,Chrome Browser History,N/A,WORKSTATION01,Browser visit to http://test.com/payload — 1 visit only,HIGH,URL logged. Destination analyzed — no active malware found.,J. Smith
